auc,mrr,ndcg@5,ndcg@10,recall@5,recall@10,recall@50,recall@100,recall@200,diversity@50,diversity@100,novelty@50,novelty@100,user_id,history_len
0.7286432160804021,0.01818181818181818,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.034482758620689655,0.12,0.12,0.6,0.8,245835,28
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.1,0.96,0.98,247037,2
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.11,0.82,0.91,248790,9
0.592964824120603,0.012195121951219513,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.05263157894736842,0.2,0.1,0.54,0.77,249788,25
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.12,0.56,0.77,251902,24
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.12,0.7,0.85,251987,15
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.1,0.64,0.8,255480,53
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.11,0.72,0.86,260059,15
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.09,0.78,0.89,261181,11
0.09547738693467336,0.0055248618784530384,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16,0.1,0.76,0.88,261530,12
0.3688663282571912,0.009708737864077669,0.0,0.0,0.0,0.0,0.0,0.0,0.04225352112676056,0.16,0.08,0.44,0.72,264359,30
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.11,0.5,0.73,268600,41
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.1,0.68,0.84,274463,17
0.8442211055276382,0.03125,0.0,0.0,0.0,0.0,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.2,0.11,0.56,0.77,277291,25
0.7236180904522613,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.16,0.09,0.9,0.95,279396,5
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.06,0.96,0.98,283388,2
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.09,0.62,0.81,285619,21
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.1,0.6,0.79,287386,24
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.09,0.66,0.82,289709,18
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.08,0.48,0.71,289998,34
0.9849246231155779,0.25,0.43067655807339306,0.43067655807339306,0.1,0.1,0.1,0.1,0.1,0.14,0.07,0.86,0.93,290832,7
0.7236180904522613,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.16,0.11,0.66,0.79,291051,51
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.12,0.86,0.93,296759,7
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.08,0.6,0.8,299355,21
0.6633165829145728,0.014705882352941176,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.022727272727272728,0.14,0.09,0.52,0.69,301528,58
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.11,0.78,0.89,303960,11
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.11,0.9,0.95,307417,5
0.8888888888888888,0.045454545454545456,0.0,0.0,0.0,0.0,0.0625,0.0625,0.0625,0.14,0.08,0.64,0.8,309336,20
0.44696969696969696,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.12,0.09,0.58,0.73,317862,46
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.11,0.9,0.95,325307,5
0.7839195979899497,0.022727272727272728,0.0,0.0,0.0,0.0,0.0625,0.0625,0.0625,0.14,0.07,0.84,0.92,329462,8
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.07,0.96,0.98,329850,2
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.07,0.82,0.91,332521,9
0.5395408163265306,0.025,0.0,0.0,0.0,0.0,0.05,0.15,0.2,0.14,0.08,0.94,0.97,334673,3
0.8442211055276382,0.03125,0.0,0.0,0.0,0.0,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.14,0.09,0.88,0.94,335397,6
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.09,0.86,0.93,335429,7
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.11,0.84,0.92,336595,8
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.07,0.92,0.96,336795,4
0.6287878787878788,0.024390243902439025,0.0,0.0,0.0,0.0,0.021739130434782608,0.021739130434782608,0.043478260869565216,0.18,0.11,0.68,0.75,337540,67
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.05,0.88,0.94,337595,7
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.09,0.66,0.83,338752,17
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.09,0.92,0.96,340170,4
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.88,0.94,340398,6
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.11,0.98,0.99,346921,1
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.1,0.54,0.77,350265,24
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.08,0.7,0.79,352658,70
0.09045226130653267,0.005494505494505495,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.18,0.11,0.48,0.73,354032,29
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.07,0.82,0.91,359361,10
